차자, 177, 50
타바, 160, 98
아아, 195, 94
다아, 177, 88
가아, 162, 63
파나, 155, 50
카바, 183, 66
사아, 180, 66
다자, 184, 63
자하, 163, 74
다아, 158, 53
가타, 196, 68
자라, 174, 53
마마, 182, 96
바아, 161, 68
자타, 181, 60
마마, 173, 55
차카, 193, 75
아마, 165, 73
사파, 184, 96
하마, 163, 76
나라, 193, 56
라카, 190, 72
아차, 155, 70
사사, 168, 60
사사, 162, 83
타아, 195, 64
파가, 171, 54
마하, 178, 63
하라, 190, 66
사차, 159, 53
자나, 163, 56
바카, 195, 68
카나, 177, 97
자차, 162, 92
타라, 188, 98
라라, 179, 79
가나, 177, 72
차카, 179, 55
하파, 185, 88
다파, 180, 54
가라, 182, 80
바자, 178, 99
카라, 194, 77
다하, 158, 69
나바, 163, 62
가다, 191, 71
바타, 187, 95
바타, 182, 79
타사, 162, 56
파자, 186, 54
나아, 175, 98
타카, 173, 65
카나, 160, 92
마하, 195, 93
하차, 182, 79
라다, 179, 65
자하, 163, 86
하라, 174, 87
라아, 196, 79
자사, 192, 72
아카, 189, 92
라파, 164, 93
자자, 150, 95
다자, 193, 63
바아, 162, 65
라하, 181, 84
타나, 166, 57
바가, 181, 80
바자, 185, 54
마라, 186, 63
타가, 184, 78
나다, 173, 92
파마, 197, 75
파사, 175, 61
차바, 176, 55
아다, 153, 61
차파, 199, 69
하차, 151, 86
사나, 199, 54
파바, 174, 54
차사, 179, 71
아타, 192, 87
차바, 194, 84
바파, 159, 98
타사, 192, 89
파나, 166, 66
사하, 199, 92
나아, 187, 79
바가, 168, 88
사다, 154, 98
나파, 181, 92
파파, 177, 98
라타, 195, 64
자아, 192, 64
파카, 182, 78
차자, 197, 64
라바, 174, 71
마바, 190, 98
가차, 180, 90
마마, 152, 60
카하, 156, 95
가사, 175, 76
하사, 155, 59
나가, 181, 51
아자, 167, 84
가하, 155, 96
라마, 198, 97
아자, 195, 58
파아, 166, 96
파카, 198, 82
카하, 175, 79
가카, 180, 89
라아, 151, 93
가자, 192, 78
카파, 187, 56
차하, 156, 72
차아, 195, 59
카마, 176, 81
바차, 181, 99
마카, 197, 58
다나, 172, 73
다아, 170, 80
하바, 160, 78
다파, 170, 56
자마, 168, 99
가하, 176, 93
마마, 182, 55
바라, 191, 85
나카, 161, 67
자사, 160, 90
하가, 195, 52
가아, 183, 93
자사, 187, 53
가하, 158, 97
다아, 174, 68
나자, 172, 60
아자, 164, 60
라하, 158, 99
하다, 167, 77
가카, 178, 50
카마, 193, 84
타아, 193, 52
마가, 167, 90
아파, 162, 64
사다, 192, 80
바가, 163, 90
사아, 186, 91
하파, 166, 57
자하, 154, 92
카파, 171, 52
차타, 194, 72
나가, 192, 52
하바, 170, 98
나사, 168, 70
바타, 190, 82
아다, 150, 98
마가, 157, 78
나파, 173, 81
바마, 175, 97
사마, 176, 91
라카, 178, 81
바카, 162, 74
바다, 170, 85
차마, 169, 97
아라, 184, 61
파나, 171, 68
아아, 190, 82
마하, 165, 96
자바, 184, 66
아사, 158, 61
아다, 173, 65
다바, 152, 54
파바, 179, 99
나다, 165, 79
타타, 180, 79
사가, 153, 55
타아, 189, 87
나다, 188, 84
사아, 179, 81
마나, 173, 97
카자, 173, 57
차카, 162, 57
파라, 196, 90
하카, 160, 59
카마, 166, 97
